FISKARI,66 kpl
Summaenergia,"267,573.68"
Maksimiteho,85.75
Maksimitehon aika,20.03.2016 18:00:00
Minimiteho,5.08
Minimitehon aika,31.08.2016 3:00:00
Keskiteho,30.46
Aikaleima,Energia (kWh)
01.01.2016 0:00:00,32.25
01.01.2016 1:00:00,29.72
01.01.2016 2:00:00,27.05
01.01.2016 3:00:00,24.24
01.01.2016 4:00:00,26.19
01.01.2016 5:00:00,24.51
01.01.2016 6:00:00,19.62
01.01.2016 7:00:00,20.82
01.01.2016 8:00:00,21.59
01.01.2016 9:00:00,28.09
01.01.2016 10:00:00,32.12
01.01.2016 11:00:00,42.20
01.01.2016 12:00:00,47.31
01.01.2016 13:00:00,40.46
01.01.2016 14:00:00,38.06
01.01.2016 15:00:00,50.16
01.01.2016 16:00:00,55.42
01.01.2016 17:00:00,57.32
01.01.2016 18:00:00,64.19
01.01.2016 19:00:00,54.92
01.01.2016 20:00:00,65.93
01.01.2016 21:00:00,48.23
01.01.2016 22:00:00,38.97
01.01.2016 23:00:00,32.23
02.01.2016 0:00:00,27.57
02.01.2016 1:00:00,22.73
02.01.2016 2:00:00,21.26
02.01.2016 3:00:00,20.40
02.01.2016 4:00:00,19.27
02.01.2016 5:00:00,18.87
02.01.2016 6:00:00,18.45
02.01.2016 7:00:00,19.14
02.01.2016 8:00:00,24.15
02.01.2016 9:00:00,29.57
02.01.2016 10:00:00,37.83
02.01.2016 11:00:00,40.83
02.01.2016 12:00:00,42.24
02.01.2016 13:00:00,39.62
02.01.2016 14:00:00,37.73
02.01.2016 15:00:00,42.70
02.01.2016 16:00:00,49.57
02.01.2016 17:00:00,60.60
02.01.2016 18:00:00,64.96
02.01.2016 19:00:00,72.72
02.01.2016 20:00:00,64.34
02.01.2016 21:00:00,50.02
02.01.2016 22:00:00,43.56
02.01.2016 23:00:00,33.41
03.01.2016 0:00:00,27.61
03.01.2016 1:00:00,23.90
03.01.2016 2:00:00,21.13
03.01.2016 3:00:00,19.81
03.01.2016 4:00:00,19.83
03.01.2016 5:00:00,19.56
03.01.2016 6:00:00,19.12
03.01.2016 7:00:00,20.00
03.01.2016 8:00:00,24.07
03.01.2016 9:00:00,30.69
03.01.2016 10:00:00,33.26
03.01.2016 11:00:00,39.71
03.01.2016 12:00:00,42.81
03.01.2016 13:00:00,40.15
03.01.2016 14:00:00,40.11
03.01.2016 15:00:00,43.96
03.01.2016 16:00:00,73.53
03.01.2016 17:00:00,65.77
03.01.2016 18:00:00,69.72
03.01.2016 19:00:00,74.22
03.01.2016 20:00:00,63.61
03.01.2016 21:00:00,51.05
03.01.2016 22:00:00,44.82
03.01.2016 23:00:00,37.14
04.01.2016 0:00:00,26.29
04.01.2016 1:00:00,21.48
04.01.2016 2:00:00,19.59
04.01.2016 3:00:00,19.47
04.01.2016 4:00:00,19.88
04.01.2016 5:00:00,19.62
04.01.2016 6:00:00,22.58
04.01.2016 7:00:00,25.39
04.01.2016 8:00:00,28.47
04.01.2016 9:00:00,27.89
04.01.2016 10:00:00,27.46
04.01.2016 11:00:00,30.25
04.01.2016 12:00:00,28.71
04.01.2016 13:00:00,31.58
04.01.2016 14:00:00,35.93
04.01.2016 15:00:00,36.48
04.01.2016 16:00:00,39.52
04.01.2016 17:00:00,43.51
04.01.2016 18:00:00,51.45
04.01.2016 19:00:00,59.23
04.01.2016 20:00:00,66.51
04.01.2016 21:00:00,55.98
04.01.2016 22:00:00,44.13
04.01.2016 23:00:00,35.52
